place_id,address_gu,address_dong,parking_available,parking_paid,reservation_available,toddler_friendly,preschool_friendly,lower_elementary_friendly,weekend_operation,price_level,discount_available,care_service_available,guardian_required,parking_difficulty,group_visit_available,program_role_play,program_media_play,safety_negative,food_allowed,program_active_play,program_creative_play,cleanliness_positive,spacious_positive,crowded_warning
kc240901,금천구,독산동,,,yes,yes,yes,,yes,low,yes,yes,,,yes,yes,yes,,,yes,,,,
kc240902,금천구,시흥동,no,,yes,yes,yes,,no,low,yes,yes,yes,difficult,yes,yes,,,,yes,yes,,,
mp230802,마포구,상암동,yes,,yes,yes,yes,,yes,low,yes,yes,yes,difficult,yes,yes,yes,yes,,yes,yes,yes,yes,yes
mp251201,마포구,상수동,,,yes,,yes,yes,yes,low,yes,yes,yes,,yes,,,,,,,yes,yes,yes
mp260201,마포구,염리동,,,yes,,yes,yes,yes,low,yes,yes,yes,,yes,,,,,,,yes,yes,
nw240701,노원구,하계동,yes,,yes,,yes,yes,yes,low,yes,yes,yes,easy,yes,,,yes,,,,yes,yes,
nw240901,노원구,,,,yes,yes,yes,yes,yes,free,,yes,,,yes,,,,,,,,,
nw260302,노원구,상계동,yes,,yes,yes,,,,low,,,yes,easy,yes,,,,,,,,,
sb240201,성북구,종암동,yes,,yes,yes,yes,,yes,low,yes,yes,yes,easy,yes,yes,yes,,,,yes,yes,yes,yes
sb240702,성북구,정릉동,yes,,yes,yes,yes,,,low,yes,,yes,easy,yes,yes,,yes,,,yes,yes,yes,
sb240801,성북구,종암동,yes,,yes,yes,,,,low,yes,yes,yes,difficult,yes,yes,yes,yes,,yes,,yes,yes,
sb240902,성북구,동소문동,no,yes,yes,,yes,yes,yes,low,yes,,yes,easy,yes,,,yes,,,,yes,yes,yes
sb240903,성북구,정릉동,yes,,yes,yes,yes,,no,low,yes,yes,yes,easy,yes,,,,,,,yes,yes,
sb251201,성북구,보문동,yes,,yes,yes,yes,,no,low,yes,yes,yes,difficult,yes,,,yes,no,yes,,yes,yes,
sb260302,성북구,하월곡동,yes,,yes,yes,yes,,no,low,yes,yes,yes,difficult,yes,,,,no,,,,,
sc231001,서초구,양재동,no,,yes,,yes,,yes,low,yes,,yes,limited,yes,,,yes,,yes,yes,yes,yes,
sc231201,서초구,양재동,yes,yes,yes,yes,yes,,yes,low,yes,,yes,difficult,yes,yes,yes,yes,,yes,yes,yes,yes,
sc240404,서초구,방배동,yes,,yes,yes,yes,,yes,low,yes,,yes,limited,yes,yes,,,,yes,,yes,yes,
sc240801,서초구,,yes,no,yes,yes,yes,,yes,low,yes,,yes,easy,yes,yes,yes,,,yes,yes,yes,yes,yes
sc251201,서초구,우면동,yes,yes,yes,yes,yes,,yes,low,yes,,yes,difficult,yes,yes,yes,,,yes,yes,yes,,
sd221201,성동구,금호동,yes,,yes,yes,yes,,no,low,yes,yes,yes,difficult,yes,,yes,,,yes,,,,
sd240701,성동구,성수동,yes,,yes,yes,yes,,no,low,,yes,yes,difficult,yes,yes,yes,,,yes,yes,yes,yes,
